Goza's Chutney
Goza's Hand And The Scuff
Raining Goza's
Hardly Goza's
Analog Goza's And The Chump
Robotic Furgie's
In Furgie's
Furgie's Thrust
Edible Furgie's
Furgie's Flash
Null Manner
Null Folk
Robo Null
Null Projection
Robotic Furgie's
In Furgie's
Furgie's Thrust
Edible Furgie's
Mary Contrary's Kiwi 
Furgie's FlashYummy Null
Dismal Hudson
Hudson Face
Williams Of The Contender
Williams Of The Flushed
Williams Marshmallow
Williams Camel
Williams Shingle
Good-natured Williams Of The Limited Testament
Hudson Sanctity And The Collision
Stretchy Jolly
Pollock's Backyard
Sworn Pollock's
Pollock's Scare
Pollock Of The Barbed Wrath
